id,name,latitude,longitude
108,Geba,40.576319,110.044106
109,Feedspan,60.2615318,37.9796654
110,Rhynyx,23.113478,113.417068
111,Topicstorm,42.6869167,21.0670387
112,Blognation,-6.7387737,106.8768415
113,Voonder,-2.840682,132.7466993
114,Zoombeat,56.0887469,55.3476176
115,Photobug,32.990664,112.528308
116,Jetwire,32.9187879,115.9811735
117,Yombu,-9.6352458,119.4048722
118,Quimba,48.9268168,2.3306851
119,Geba,43.2456198,26.9297347
120,Avaveo,52.5666667,78.9472223
121,Voomm,17.5767798,104.5946633
122,Devshare,10.7908,124.014
123,Oyondu,15.5906551,103.5899733
124,Geba,40.210071,119.710719
125,Mybuzz,-10.1749074,123.9136675
126,Wordware,4.809984,-74.354009
127,Skinder,3.2093353,101.6716295
128,Avamm,51.8964003,18.9565781
129,Gabspot,-6.534094,111.0341183
130,Pixonyx,26.497669,104.980581
131,Izio,14.5347758,121.112687
132,Feedmix,16.9846184,122.0047563
133,Kamba,-4.4564351,-81.2821647
134,Skiba,53.6094246,18.5697311
135,Plambee,50.5787435,35.7888187
136,Feedbug,50.893024,18.0313123
137,Gabspot,58.3986162,15.5385144
138,Roodel,-25.5281546,-48.5430054
139,Wikizz,27.734109,112.535036
140,Meedoo,35.7518326,104.2861116
141,Dynabox,49.9600837,14.3198018
142,Eamia,52.7251027,17.6532993
143,Wikibox,45.6152297,-61.3552089
144,Wordtune,34.888685,111.607282
145,Skiba,51.8370136,19.8634282
146,Linklinks,15.1487342,120.5849792
147,Photobean,52.3739053,4.615857
148,Meeveo,14.5144041,121.0406718
149,Avamm,-8.197451,112.6079459
150,Kanoodle,5.472709,-74.667984
151,Innotype,33.8597337,134.6589917
152,Skinder,-6.6063841,106.7617984
153,Roombo,13.1072012,-84.1870297
154,Leexo,35.810038,111.379101
155,Bubblebox,60.6130236,15.6530104
156,Pixoboo,-10.182653,123.583231
157,Gabtune,46.3194856,-0.4546217
158,Jayo,-6.3267969,107.2932396
159,Layo,36.8466981,-76.2900032
160,Wikibox,37.2516991,139.007103
161,Yakitri,-34.6143841,-58.4708749
162,Realfire,28.297306,120.632491
163,Mynte,8.69778,-13.23917
164,Voonyx,32.53292,110.983684
165,JumpXS,30.240579,106.370479
166,Babbleset,-5.6229011,32.7548364
167,Vitz,52.6053795,39.5788904
168,Gigabox,4.9237913,-52.3205637
169,Roodel,-7.3106,106.5946
170,Aimbu,7.3139328,-11.3062382
171,Avamba,15.4269392,-87.9775787
172,Twitterworks,23.365556,116.70345
173,Lajo,-34.785428,-58.3886187
174,Shuffledrive,49.7523172,18.1313741
175,Dynazzy,50.3649126,23.7519532
176,Twitternation,4.9801882,23.941751
177,Skyble,36.806669,118.017938
178,Eayo,10.7578263,106.7012968
179,Blogspan,-20.0170955,-45.9795138
180,Livetube,5.3956496,26.4916731
181,Demimbu,26.6849798,100.7492159
182,Tagcat,-8.0119417,111.8941208
183,Jaxspan,27.6332252,85.5277488
184,Digitube,37.2719952,127.4348221
185,Dabtype,9.9153112,123.6091507
186,Zoovu,43.691162,-79.8408787
187,Bubblebox,43.6167837,7.0125073
188,Browsezoom,19.453837,-99.1227878
189,Yodoo,35.919651,103.845271
190,Thoughtbridge,31.237906,121.41794
191,Ntag,30.679359,104.011664
192,Skinte,26.480043,113.778639
193,Voonte,16.7733926,101.2451095
194,Feedmix,47.0203207,-68.1435046
195,Yotz,3.60783,98.8076849
196,Fadeo,5.2306075,95.8670405
197,Dabjam,35.4937018,110.3838909
198,Aibox,30.63963,114.385538
199,Quamba,24.168957,102.405819
200,Pixoboo,55.2884444,23.9749999
201,Fivespan,-7.428179,108.7437098
202,Voonder,59.0842105,159.9541642
203,Babblestorm,45.6878582,18.4041894
204,Demivee,-23.668163,-46.4617086
205,Quinu,52.53255,103.8923786
206,LiveZ,38.6436333,-8.9810063
207,Yodoo,-6.2836822,106.590819
208,Kwimbee,33.8831154,130.6524512
209,Edgetag,52.222333,104.022
210,Jabbertype,4.2904513,9.4144962
211,Twitterlist,16.7903346,120.8249088
212,Feedspan,30.181965,-97.9701846
213,Zoomdog,26.2664534,127.7583123
214,Jatri,60.203651,24.8980279
215,Topicware,-10.1628,123.5781
216,Browsedrive,9.8741891,-84.0605696
217,Photobug,10.508928,107.1816257
218,Voonix,29.000347,101.507294
219,Skipfire,33.551052,119.113185
220,Kazu,-9.771006,-76.6613239
221,Plambee,52.8566588,15.677579
222,Lazzy,8.583333,39.85
223,Pixope,41.604029,-8.5920192
224,Twinte,29.696195,106.79542
225,Katz,-7.4720926,108.6324073
226,Fivebridge,59.1631398,17.1921015
227,Jaloo,8.508983,125.969667
228,Zoonoodle,-6.837527,107.2104935
229,Ntag,3.9878168,-75.946324
230,Youspan,22.251924,112.794065
231,Reallinks,15.9754252,120.3554727
232,Zooveo,59.7536439,10.1199836
233,Nlounge,32.540157,111.513127
234,Photospace,-22.3734081,-48.3860575
235,Rhycero,32.407849,119.4213786
236,Dabtype,5.3453369,95.8353837
237,Kazu,-24.9852879,-55.1513801
238,Yozio,34.8844689,32.367428
239,Devcast,44.8373278,18.7330664
240,Demimbu,20.01693,-75.8301537
241,Meeveo,-8.3257,123.1505
242,Dynazzy,23.365556,116.70345
243,Quinu,-8.6603,117.1735
244,Tagopia,-27.7145846,-48.5606259
245,Dabtype,8.7069226,-82.4861053
246,Eidel,50.1328637,14.2794469
247,Zava,32.809026,110.112629
248,Meejo,48.6765178,38.0990815
249,Jatri,8.9282133,-74.5697617
250,Ozu,34.0370771,116.1719462
251,Talane,-23.3044524,-51.1695824
252,Reallinks,41.28102,112.45297
253,Eadel,29.1416432,119.7889248
254,Vipe,28.2645193,68.4722695
255,Janyx,52.3738284,4.8886159
256,Jaxnation,41.7464398,-8.3721165
257,Twitterbeat,57.7184535,12.0083611
258,Janyx,59.326934,14.524558
259,Gabtune,38.9175948,22.3032419
260,Talane,61.8319048,34.3054029
261,Bubbletube,9.2727457,-65.7698663
262,Myworks,-6.6760711,-36.9326095
263,Midel,23.0962864,-82.3614632
264,Jayo,-13.5,48.86667
265,Tagchat,61.7267327,75.333769
266,Kazu,9.6522451,124.3690673
267,Photojam,14.5788472,121.0143656
268,Fatz,16.3273562,-86.5627851
269,Zoozzy,50.4244054,14.3899392
270,Realcube,40.104785,117.116756
271,Mymm,7.7014054,125.9931065
272,Bubbletube,19.3851705,-99.1837453
273,Dabtype,12.309606,121.92404
274,Skyble,-2.688962,111.622398
275,Mydo,14.8043413,120.8805975
276,Fliptune,-8.615202,115.2402986
277,Jayo,59.3398021,18.0802922
278,Snaptags,32.709243,116.722615
279,Devcast,32.4322509,74.5809328
280,Meemm,42.2253803,-83.3415334
281,Linkbridge,19.4873902,-104.6383777
282,Youspan,-9.7138,120.0297
283,Thoughtworks,-5.387502,26.9911288
284,Gigashots,5.19669,96.78446
285,Thoughtmix,45.2220415,14.6312221
286,Meevee,33.0205233,130.8260172
287,Agivu,23.106401,113.459749
288,Skivee,8.5131518,124.7568082
289,Aimbu,33.021266,35.447949
290,Yakidoo,-34.679347,-58.3762722
291,Tagfeed,-3.0029841,115.9467997
292,Reallinks,53.0226508,20.4361149
293,Midel,51.3684218,-1.3218754
294,Meevee,-0.670315,100.962601
295,Dabfeed,25.822132,107.545048
296,Babbleset,51.8759458,16.0718133
297,Quatz,-7.9438473,113.8153425
298,Shuffledrive,43.2894617,5.3563232
299,Einti,8.27533,-73.868176
300,Twiyo,45.5080397,-73.564543
301,Linkbridge,36.7411205,43.8808488
302,Plambee,19.6808413,-72.317793
303,Linktype,13.9192331,121.4256292
304,Talane,-8.113,113.8437
305,Eimbee,-26.7816035,31.9302449
306,Wordify,52.3811357,4.6419648
307,Gabvine,-1.2468663,110.0926112
308,Trudoo,49.1013182,16.7048398
309,Twitterwire,-6.8878234,107.9604706
310,Aibox,51.8757044,33.4966152
311,Skinte,-8.073071,113.1173534
312,Kimia,15.5997074,120.7234624
313,Quinu,24.690585,115.264971
314,Zoomdog,-17.6169957,177.4504888
315,Kwilith,35.1744271,-6.1473964
316,Linklinks,22.705124,113.316811
317,Devpulse,50.009103,22.8837844
318,Roodel,-8.2593984,112.0714835
319,Rhyzio,48.0762327,-0.7609009
320,Topicblab,28.162833,113.643076
321,InnoZ,43.7441795,2.511999
322,Jayo,59.3475695,18.0441996
323,Plajo,59.3416126,18.0494344
324,Brainlounge,-6.8989,113.4891
325,Linkbuzz,7.9306264,80.7207444
326,Twitterlist,53.9024585,17.9194558
327,Fivespan,63.4529778,48.8833546
328,Voonix,22.8064234,-82.5848464
329,Twitterbridge,41.076226,113.969618
330,Jazzy,27.622797,119.388311
331,Blognation,-34.604369,-58.4838202
332,Cogibox,38.062428,114.645657
333,Omba,-7.1309871,111.591546
334,Avamm,10.3719544,123.9153917
335,Chatterpoint,6.208781,-75.732944
336,Realpoint,16.8164157,100.270206
337,Mycat,35.0160783,40.44654
338,Browsedrive,55.3479146,65.323903
339,Kwilith,40.23921,116.12895
340,Yakitri,15.2699767,-12.8658649
341,Eidel,46.5993244,-1.1457859
342,Oyoba,54.6192996,39.8560057
343,Buzzbean,49.7563861,18.0158192
344,Aivee,21.5117028,-104.8786647
345,Oba,-7.0908504,115.7604781
346,Browsetype,-6.745694,111.0438053
347,Rooxo,29.000347,101.507294
348,Flipstorm,32.7074464,108.9391253
349,Feedmix,40.9177668,-8.5813851
350,Jayo,28.572029,109.482078
351,Devify,11.4326663,-85.8230251
352,Skynoodle,-32.9444147,-62.2288223
353,Trupe,59.3974738,27.2797506
354,Skinder,39.2957066,-76.5697075
355,Zoonoodle,51.7840088,22.3268117
356,Vidoo,60.7990211,28.0089189
357,Quaxo,9.2209606,-74.4028287
358,Tagtune,44.8039803,19.2621377
359,Topiclounge,24.298195,109.402037
360,Oyope,40.2259198,21.8296162
361,Layo,-33.3306976,22.5345667
362,Thoughtsphere,35.48936,66.66409
363,Lazzy,-7.7527791,113.697829
364,Leenti,28.008237,114.033247
365,Talane,40.152053,-8.3479579
366,Viva,28.122424,109.746848
367,Photofeed,44.6208353,21.1842054
368,Dablist,20.0045547,105.9714566
369,Aivee,33.021266,35.447949
370,Katz,-26.4912117,29.2335299
371,Livetube,8.6427567,124.770152
372,Oyonder,14.5679735,121.0210496
373,Feednation,22.778717,115.365045
374,Jaloo,41.7579896,-88.2947675
375,Centidel,30.7361622,72.6661867
376,Quatz,4.1772002,96.3119743
377,Thoughtstorm,-6.91253,113.75089
378,Eabox,13.7514954,100.5108479
379,Twinder,12.3084603,124.6357734
380,Rhynyx,20.7156807,-77.9938497
381,Blogtag,35.9889377,140.4806732
382,Brainsphere,7.7478359,-8.8252502
383,Zoombeat,53.2736466,-9.0197835
384,DabZ,26.168922,118.188043
385,Browsebug,-3.6062721,128.2480302
386,Wikido,-8.0401628,113.831703
387,Meedoo,-3.565921,114.7855271
388,Skalith,55.1506212,82.8518405
389,Skajo,46.7604507,38.4094028
390,Oodoo,-7.0431437,111.3679689
391,Jayo,-26.1317461,28.2953986
392,Npath,42.9782326,-7.5626411
393,Mybuzz,37.783205,107.407358
394,Rhynoodle,32.113366,35.077465
395,Gigaclub,15.4575357,-92.281427
396,Yacero,51.3436553,25.8490867
397,Mymm,-37.9973752,-57.5825246
398,Pixope,1.5484759,103.7983752
399,Plajo,-9.8596373,124.2754988
400,Topicshots,28.650072,121.261886
401,Linkbridge,-6.403006,107.454927
402,Edgeblab,41.2592586,-8.3332193
403,Eire,29.514498,110.840021
404,Yadel,55.7813005,37.6003808
405,Oyoba,-7.348395,112.7494759
406,Dabtype,43.0429124,1.9038837
407,Youopia,29.205856,117.11078
408,Plambee,49.9846987,18.4044199
409,Geba,28.94074,113.447431
410,Rhycero,45.304073,130.980894
411,Jazzy,37.0939437,-8.2461254
412,Babblestorm,58.175029,13.553217
413,Tambee,50.5416699,40.0498042
414,Skimia,51.2250373,22.7850797
415,Avaveo,14.5019116,-90.9550367
416,Voomm,48.9749521,28.8474081
417,Thoughtworks,48.3018611,23.4764363
418,Shuffledrive,52.2873032,76.9674023
419,Voolith,48.0589455,34.6153907
420,Skiba,14.7953378,44.2905281
421,Thoughtworks,15.1751306,99.7509296
422,Shufflebeat,43.531892,46.3741404
423,Yodoo,-18.8200534,49.0652963
424,Photolist,51.7059957,53.0515402
425,Shufflebeat,22.974898,113.993115
426,Eazzy,17.263531,121.834345
427,Flipbug,55.6345009,13.0744097
428,Realbuzz,43.2916776,-0.3696612
429,Avamm,32.990664,112.528308
430,Skaboo,39.918603,22.6825626
431,Demivee,23.7221111,-15.9347384
432,Lazz,32.676895,-16.8119382
433,Devcast,24.063883,99.200253
434,Skiptube,15.9321146,120.3478316
435,Skinix,46.7389292,35.6383177
436,Bubbletube,50.8816379,20.4659289
437,Quaxo,30.532847,105.592898
438,Brightbean,45.40015,-64.33205
439,Devpulse,-10.3869996,28.7023068
440,Browsebug,14.7384717,-6.1182429
441,Thoughtstorm,25.63273,118.980277
442,Photobug,56.9335219,24.2886319
443,Voonix,40.0397682,-75.145782
444,Oyoloo,3.8024611,117.2205771
445,Brainsphere,-23.0552782,-49.623678
446,Skaboo,36.7821,117.032171
447,Meembee,50.1616215,8.7032376
448,Skyndu,-0.970213,133.9246009
449,Gabspot,-15.158624,-48.2802925
450,Mybuzz,-34.7569609,-58.3736215
451,Fivebridge,40.561598,22.1857013
452,JumpXS,39.46667,22.73333
453,Browsecat,45.9184314,40.1587542
454,Realmix,50.0138436,18.9779408
455,Brainbox,38.6390583,22.5927946
456,Quamba,15.6756662,121.1303669
457,Gigazoom,-3.544289,104.4683
458,Janyx,59.3618675,17.9791475
459,Innotype,40.076762,113.300129
460,Jaxspan,40.4234188,-8.7397233
461,Feedmix,-8.7833,121.219
462,Voolia,-20.6,48.33333
463,Oyonder,-10.2043297,123.6819029
464,Skynoodle,48.9101028,2.234305
465,Buzzdog,44.6035552,22.6098737
466,Bubblebox,38.95389,127.89167
467,Kwinu,7.45,2.85
468,Yoveo,-21.2105166,-47.625836
469,Skalith,40.9392676,46.3748931
470,Dablist,14.5659545,121.0065361
471,Demimbu,-12.0817609,-77.0960876
472,Livefish,31.9428516,131.2959142
473,Dabfeed,34.799583,137.3616256
474,Muxo,-13.87016,-73.667793
475,Yakitri,46.2893452,28.6519897
476,Realbridge,33.1212187,131.5637393
477,Plajo,59.6322811,16.5613311
478,Roombo,45.521777,4.2552114
479,Jabbersphere,-8.75815,117.18602
480,Buzzdog,38.5904096,-8.9994843
481,Npath,-6.3139863,105.9611748
482,Linkbuzz,38.7025085,-9.3381698
483,Kimia,59.5403823,30.8896701
484,Twitterbridge,40.417358,117.500558
485,Skinix,4.5604389,-74.115187
486,Einti,23.021478,113.121435
487,Twinder,53.7217952,40.0305734
488,Dynabox,25.5784559,51.4821387
489,Zoovu,10.5308066,105.1609838
490,Avaveo,51.598282,-0.198414
491,Layo,1.3976339,124.9616867
492,Eire,39.3240601,-77.3485436
493,Flashspan,51.1347637,133.0393804
494,Zoonder,-2.9135019,-79.8156667
495,Aivee,-26.2396883,28.3217259
496,Demivee,38.728816,-9.2845804
497,Plambee,-7.5029075,107.8613334
498,Yodoo,25.611704,110.67167
499,Camido,10.796589,-74.915036
500,Dabjam,45.4002994,29.5961736
501,Eimbee,59.1815399,17.5858441
502,Vidoo,-14.3519929,-170.7408429
503,Oyonder,43.7543283,-79.4422593
504,Fivechat,51.7256101,38.9897424
505,Meeveo,42.9148171,20.6897443
506,Jabbertype,-8.5803424,116.3654707
507,Gabtype,63.8303942,20.2848088
508,Ozu,-6.5951,111.0566
509,Yakidoo,41.1653042,-7.7850487
510,Gabtype,38.134916,115.413779
511,Wordify,34.36441,36.4158225
512,Realmix,49.5767154,18.7645942
513,Mudo,45.97927,-81.9248
514,Youfeed,-28.8953831,27.9073244
515,Youfeed,58.3634707,59.8100344
516,Wordify,45.6467048,122.8448203
517,Dynava,9.1742107,-79.5687728
518,Fatz,48.1292028,38.563128
519,Skajo,22.1461138,-78.9712451
520,Linklinks,49.9321242,17.8000468
521,Blogtags,45.1934857,5.7218985
522,Zoomlounge,50.1110411,12.9988101
523,Browsebug,14.6035421,121.0245782
524,Wordify,8.0335995,2.4851463
525,Realfire,12.2651512,-85.0778886
526,Thoughtblab,-7.305958,112.8135304
527,Jabbersphere,23.883531,110.666614
528,Tanoodle,30.126539,120.965215
529,Roombo,-27.593609,-48.5027406
530,Oozz,53.763201,-2.70309
531,Topicstorm,33.2064,106.425174
532,Digitube,36.4745388,66.9511459
533,Cogidoo,-10.9472468,-37.0730823
534,Trilia,-5.3810959,105.2955575
535,Yata,48.8231572,103.5218199
536,Meemm,45.8839523,16.416766
537,Skajo,-16.328546,-48.953403
538,Livetube,46.5240685,28.7769351
539,Thoughtbridge,18.4073894,-77.1031345
540,Feedfish,13.658247,123.017079
541,Lazzy,13.17535,44.27461
542,Jabberbean,8.955271,126.009711
543,Yombu,42.9782326,-7.5626411
544,Photobug,-15.2090734,-39.1959729
545,Edgeblab,-15.576624,-72.1293262
546,Kwinu,55.3440711,86.1268949
547,Brightdog,4.3759676,-7.7009416
548,Twitterbridge,4.974252,-74.291386
549,Mudo,5.902266,-75.329557
550,Innojam,28.01082,120.663064
551,Edgepulse,60.134938,15.3993708
552,Avavee,38.3237571,-108.1821561
553,Lazzy,39.419036,117.644144
554,Zoombox,-2.804472,129.484497
555,Gabspot,53.437194,41.789046
556,Zoomcast,22.6558442,120.4703258
557,Gigabox,56.1966377,86.6235938
558,Photojam,44.9153318,19.4516353
559,Jabbertype,8.18806,124.60972
560,Roombo,28.5417016,-81.2408689
561,Eire,49.4575108,18.2598032
562,Aimbo,0.9219622,124.3088255
563,Wikivu,28.138525,109.326383
564,Devshare,44.346784,5.8855505
565,Yodel,56.3289836,116.1168555
566,Thoughtbeat,-10.3869996,28.7023068
567,Livetube,13.369605,100.987203
568,Kamba,3.0646746,97.3290405
569,Browsezoom,54.1349846,38.1596549
570,Devbug,-21.3054884,-46.7084932
571,Wikizz,29.2565637,48.062605
572,Skippad,-9.4511841,120.0496593
573,Yambee,38.322854,114.245006
574,Edgewire,34.058401,107.319116
575,Mudo,44.053592,80.874181
576,Skinte,-14.65067,-75.0634
577,Mydeo,33.9842691,35.6344491
578,Wikivu,38.7035566,-7.7801629
579,Eire,53.3126826,22.9196898
580,Fliptune,31.919897,120.085146
581,Feedbug,48.305818,4.024099
582,Midel,45.7718709,126.6701902
583,Gigaclub,25.9375976,-100.3638252
584,Jetpulse,8.039166,124.268625
585,Snaptags,52.6435136,4.7270746
586,Fivechat,39.74,-104.98
587,Jamia,-7.3276166,112.7137227
588,Tagpad,13.1072012,-84.1870297
589,Kamba,34.6919356,32.9184086
590,Devcast,-6.9731701,111.7227125
591,Rhynyx,30.9329039,121.4518015
592,Snaptags,48.7599951,98.2670152
593,Tazzy,-7.633333,108.133333
594,JumpXS,22.428345,112.509269
595,Edgetag,38.6606921,-27.2272259
596,Agivu,0.9073068,123.2559847
597,Zava,34.0624686,51.4782228
598,Geba,41.44056,22.72778
599,Bluejam,38.6732759,-9.2330331
600,Dynabox,60.7613626,22.6422393
601,Tagfeed,35.054002,103.133562
602,Zava,51.6571864,35.6783297
603,Buzzster,39.2992172,-9.2824776
604,Yodel,59.207544,17.8277745
605,Tazzy,55.9711379,37.9358133
606,JumpXS,35.632522,138.9562642
607,Oba,45.6629694,6.3760602
608,Leexo,48.7499009,2.3825213
609,Realcube,-7.7766561,112.1579249
610,Browsedrive,56.8530446,41.3756828
611,Fivechat,35.032891,108.093259
612,Dynabox,49.8098094,15.5297943
613,Gabspot,20.9959819,105.8097244
614,Blogpad,24.348365,105.759939
615,Thoughtworks,40.7773081,-74.0186386
616,Skidoo,9.0651,123.0524
617,Browsedrive,59.1984305,18.1104499
618,Voolith,48.760482,16.9944668
619,Tazzy,36.7067342,57.4146531
620,Youtags,-1.133947,103.0702646
621,Linkbridge,59.6189852,17.0509784
622,Mynte,47.9956173,0.1924459
623,Talane,-4.5329418,105.2077798
624,Tagchat,53.607925,10.0852568
625,Bubblebox,8.287423,100.1927389
626,Dabtype,39.1845611,22.7382766
627,Gigazoom,59.3974738,27.2797506
628,Buzzster,50.5763759,22.059689
629,Agivu,52.753093,-2.941678
630,Meetz,32.903037,101.730195
631,Mybuzz,-14.0993396,-75.6891699
632,Tavu,50.6286293,13.8637153
633,LiveZ,-23.0432476,-47.368765
634,Twitterbridge,25.227212,100.307174
635,Wordtune,25.692148,-100.2638682
636,Edgewire,51.9500617,6.3130893
637,Voolith,39.9250988,116.3968433
638,Camimbo,52.3982331,13.2448535
639,Yodo,17.1939768,120.4485002
640,Babbleblab,25.9868744,-80.2153998
641,Twitterbridge,27.85512,120.6604815
642,Jaloo,24.767489,98.699009
643,Yabox,29.988244,120.582633
644,Pixonyx,-8.4963229,123.3766669
645,Flashspan,15.5700166,121.1472247
646,Skalith,10.4825247,105.4771084
647,Jaxspan,43.4598651,-3.8057968
648,Shuffledrive,43.9887651,18.1798837
649,Shufflester,8.7078954,-76.0391909
650,Oodoo,42.1144473,-72.4909026
651,Babbleopia,10.3765284,106.3438891
652,Browsedrive,-7.7911198,-79.2197376
653,Abatz,31.753884,118.565462
654,Brightbean,59.3635749,17.9932873
655,Gigabox,-7.9822189,111.4782661
656,Centimia,24.633362,110.643305
657,Gabspot,38.8611918,65.7847269
658,Lajo,49.615051,101.9927979
659,Thoughtsphere,24.4752847,101.3431058
660,Skaboo,17.5358596,121.6851715
661,Voomm,13.26831,43.50993
662,Demimbu,48.8120404,2.2718631
663,Fatz,-6.5115909,105.652983
664,Eire,-12.3446835,-75.8704611
665,Camido,59.7725109,60.0672588
666,Skyvu,29.606703,106.574271
667,Kimia,-20.1174305,57.5561071
668,Meevee,24.1477358,120.6736482
669,Pixope,49.0813568,13.9584191
670,Roombo,29.750877,-7.9756343
671,Teklist,47.2952721,39.8734276
672,Yambee,50.3863669,13.0825375
673,Zoovu,-8.6601628,117.4615118
674,Brightdog,24.625561,118.431541
675,Topdrive,18.8478608,-99.1843676
676,Rhynyx,36.6796146,136.8617092
677,Vimbo,55.85611,37.669967
678,Meejo,47.9392632,32.5560249
679,Innotype,49.9521295,22.4357438
680,Skidoo,59.2375852,15.1301177
681,Skipstorm,7.665099,-76.67749
682,Plambee,43.2981839,22.0044228
683,Eayo,57.961476,-4.031512
684,Tekfly,6.979498,-75.2966019
685,Divavu,30.20003,115.038835
686,Fatz,54.2223118,-10.0320886
687,Yozio,40.2627673,45.7004954
688,Talane,14.7668705,-91.1779176
689,Rhyloo,41.6751633,60.7598173
690,Kwimbee,47.4031036,19.0922063
691,Skajo,0.3332218,34.4877423
692,Buzzster,-8.7824511,35.8089055
693,Rhybox,53.3004898,-6.2634596
694,Wikivu,59.1965287,17.6475071
695,Browseblab,19.6938888,-99.2591666
696,Realfire,39.925359,116.410316
697,Trilith,-8.4358333,119.9916667
698,Oyondu,-6.9122585,113.8257538
699,Youfeed,14.63571,121.60617
700,Yambee,33.5727724,36.4093761
701,Twimbo,14.8751623,-86.1828047
702,Teklist,26.848547,115.193595
703,Twitterwire,14.6329018,-90.9259787
704,Feedspan,33.4049794,49.6962428
705,Twitterlist,34.67985,112.500205
706,Cogibox,46.3043619,38.9758429
707,Jetpulse,6.5390358,21.9910008
708,Linkbridge,59.4687696,24.9801867
709,Devpoint,-20.0722773,57.6184076
710,Mydo,31.306915,111.012335
711,Avamm,45.89485,13.7233116
712,Zoonoodle,26.480043,113.778639
713,Browsetype,5.596767,-75.819361
714,Voomm,36.978537,117.173524
715,Kwideo,31.096749,118.19426
716,Skippad,35.8439572,136.1916906
